week,date,averageprice,totalvolume,type,year
0,2015-12-27,.94999999,27297984,conventional,2015
1,2015-12-20,.98000002,25083648,conventional,2015
2,2015-12-13,.93000001,28041336,conventional,2015
3,2015-12-06,.88999999,28800396,conventional,2015
4,2015-11-29,.99000001,22618000,conventional,2015
5,2015-11-22,.95999998,25114228,conventional,2015
6,2015-11-15,.92000002,28597756,conventional,2015
7,2015-11-08,.97000003,28485716,conventional,2015
8,2015-11-01,.97000003,31047484,conventional,2015
9,2015-10-25,1.04,26240072,conventional,2015
10,2015-10-18,.99000001,29375124,conventional,2015
11,2015-10-11,1,29216198,conventional,2015
12,2015-10-04,1.02,28243506,conventional,2015
13,2015-09-27,1.03,27753508,conventional,2015
14,2015-09-20,1.02,29569086,conventional,2015
15,2015-09-13,1.03,31245836,conventional,2015
16,2015-09-06,1.02,33526480,conventional,2015
17,2015-08-30,1.0700001,29761638,conventional,2015
18,2015-08-23,1.08,29699846,conventional,2015
19,2015-08-16,1.05,31936856,conventional,2015
20,2015-08-09,1.05,33254912,conventional,2015
21,2015-08-02,1.09,30358468,conventional,2015
22,2015-07-26,1.0700001,30652212,conventional,2015
23,2015-07-19,1.0700001,32324648,conventional,2015
24,2015-07-12,1.0700001,31660032,conventional,2015
25,2015-07-05,1.04,37943672,conventional,2015
26,2015-06-28,1.0599999,32408706,conventional,2015
27,2015-06-21,1.02,35734612,conventional,2015
28,2015-06-14,.98000002,37026084,conventional,2015
29,2015-06-07,1,36549996,conventional,2015
30,2015-05-31,1.03,33720160,conventional,2015
31,2015-05-24,1.04,35344184,conventional,2015
32,2015-05-17,1.0599999,32027686,conventional,2015
33,2015-05-10,1.02,36400888,conventional,2015
34,2015-05-03,.95999998,41291704,conventional,2015
35,2015-04-26,1.0700001,30894158,conventional,2015
36,2015-04-19,1.03,33091256,conventional,2015
37,2015-04-12,1.02,32046402,conventional,2015
38,2015-04-05,1.0599999,31500670,conventional,2015
39,2015-03-29,1.04,29982648,conventional,2015
40,2015-03-22,1.01,32513550,conventional,2015
41,2015-03-15,1.04,29572226,conventional,2015
42,2015-03-08,1.02,30094698,conventional,2015
43,2015-03-01,.97000003,32994014,conventional,2015
44,2015-02-22,1.02,29936730,conventional,2015
45,2015-02-15,1.03,28012520,conventional,2015
46,2015-02-08,.94999999,32137334,conventional,2015
47,2015-02-01,.88999999,44655460,conventional,2015
48,2015-01-25,1.04,28470310,conventional,2015
49,2015-01-18,1.03,29043458,conventional,2015
50,2015-01-11,1.01,29063542,conventional,2015
51,2015-01-04,.94999999,31324278,conventional,2015
0,2016-12-25,1,30287854,conventional,2016
1,2016-12-18,.95999998,29583882,conventional,2016
2,2016-12-11,.98000002,30093540,conventional,2016
3,2016-12-04,1,31621222,conventional,2016
4,2016-11-27,1.21,22923062,conventional,2016
5,2016-11-20,1.27,24989702,conventional,2016
6,2016-11-13,1.36,24075126,conventional,2016
7,2016-11-06,1.4400001,22534698,conventional,2016
8,2016-10-30,1.4299999,21009730,conventional,2016
9,2016-10-23,1.34,24753514,conventional,2016
10,2016-10-16,1.3,27707046,conventional,2016
11,2016-10-09,1.27,28857582,conventional,2016
12,2016-10-02,1.23,29615008,conventional,2016
13,2016-09-25,1.22,30305112,conventional,2016
14,2016-09-18,1.15,31346092,conventional,2016
15,2016-09-11,1.08,34126732,conventional,2016
16,2016-09-04,1.04,37130688,conventional,2016
17,2016-08-28,1.09,33993932,conventional,2016
18,2016-08-21,1.1,33592096,conventional,2016
19,2016-08-14,1.12,34386176,conventional,2016
20,2016-08-07,1.15,33819908,conventional,2016
21,2016-07-31,1.23,31201590,conventional,2016
22,2016-07-24,1.2,32339378,conventional,2016
23,2016-07-17,1.15,32656124,conventional,2016
24,2016-07-10,1.1,35567568,conventional,2016
25,2016-07-03,1.0599999,39993188,conventional,2016
26,2016-06-26,1.04,36617024,conventional,2016
27,2016-06-19,1.02,38489936,conventional,2016
28,2016-06-12,1.04,35580820,conventional,2016
29,2016-06-05,.97000003,40231260,conventional,2016
30,2016-05-29,.94,40019076,conventional,2016
31,2016-05-22,.93000001,36958036,conventional,2016
32,2016-05-15,.88999999,39914996,conventional,2016
33,2016-05-08,.81999999,46324528,conventional,2016
34,2016-05-01,.83999997,42867608,conventional,2016
35,2016-04-24,.87,39607696,conventional,2016
36,2016-04-17,.89999998,37467884,conventional,2016
37,2016-04-10,.89999998,36584028,conventional,2016
38,2016-04-03,.94,33668452,conventional,2016
39,2016-03-27,.94,35930196,conventional,2016
40,2016-03-20,.93000001,36335484,conventional,2016
41,2016-03-13,.93000001,36374516,conventional,2016
42,2016-03-06,.94999999,35064508,conventional,2016
43,2016-02-28,.91000003,36801816,conventional,2016
44,2016-02-21,.94,32804734,conventional,2016
45,2016-02-14,.88,36476440,conventional,2016
46,2016-02-07,.75999999,52288696,conventional,2016
47,2016-01-31,.93000001,34721248,conventional,2016
48,2016-01-24,.94999999,32787080,conventional,2016
49,2016-01-17,.94,34426340,conventional,2016
50,2016-01-10,.93000001,35264336,conventional,2016
51,2016-01-03,.86000001,38142088,conventional,2016
0,2017-12-31,.98000002,38267340,conventional,2017
1,2017-12-24,1.1799999,29102350,conventional,2017
2,2017-12-17,1.0700001,30757768,conventional,2017
3,2017-12-10,1.03,35634912,conventional,2017
4,2017-12-03,1.09,33824252,conventional,2017
5,2017-11-26,1.24,24686676,conventional,2017
6,2017-11-19,1.17,29253484,conventional,2017
7,2017-11-12,1.15,32336224,conventional,2017
8,2017-11-05,1.1900001,32051594,conventional,2017
9,2017-10-29,1.29,30237912,conventional,2017
10,2017-10-22,1.4400001,26706972,conventional,2017
11,2017-10-15,1.58,25031590,conventional,2017
12,2017-10-08,1.65,24397166,conventional,2017
13,2017-10-01,1.64,24610646,conventional,2017
14,2017-09-24,1.62,24637148,conventional,2017
15,2017-09-17,1.5700001,25394902,conventional,2017
16,2017-09-10,1.5599999,26385082,conventional,2017
17,2017-09-03,1.5700001,26808410,conventional,2017
18,2017-08-27,1.47,28785280,conventional,2017
19,2017-08-20,1.41,29913744,conventional,2017
20,2017-08-13,1.33,32817254,conventional,2017
21,2017-08-06,1.33,32529920,conventional,2017
22,2017-07-30,1.3200001,31756098,conventional,2017
23,2017-07-23,1.3099999,32608302,conventional,2017
24,2017-07-16,1.33,32455048,conventional,2017
25,2017-07-09,1.17,39367336,conventional,2017
26,2017-07-02,1.21,38010428,conventional,2017
27,2017-06-25,1.17,37305308,conventional,2017
28,2017-06-18,1.1799999,38247668,conventional,2017
29,2017-06-11,1.21,37039852,conventional,2017
30,2017-06-04,1.24,37352360,conventional,2017
31,2017-05-28,1.28,37030892,conventional,2017
32,2017-05-21,1.26,34397652,conventional,2017
33,2017-05-14,1.1900001,36634268,conventional,2017
34,2017-05-07,1.09,47293920,conventional,2017
35,2017-04-30,1.1799999,38315500,conventional,2017
36,2017-04-23,1.1799999,35729012,conventional,2017
37,2017-04-16,1.23,35182320,conventional,2017
38,2017-04-09,1.21,34785712,conventional,2017
39,2017-04-02,1.21,34468016,conventional,2017
40,2017-03-26,1.24,32555120,conventional,2017
41,2017-03-19,1.25,31595126,conventional,2017
42,2017-03-12,1.22,32020574,conventional,2017
43,2017-03-05,1.13,33684176,conventional,2017
44,2017-02-26,.99000001,37007796,conventional,2017
45,2017-02-19,.99000001,33905856,conventional,2017
46,2017-02-12,.87,41077472,conventional,2017
47,2017-02-05,.76999998,61034456,conventional,2017
48,2017-01-29,.95999998,39373580,conventional,2017
49,2017-01-22,.94,42140392,conventional,2017
50,2017-01-15,.98000002,38295488,conventional,2017
51,2017-01-08,.99000001,38049804,conventional,2017
52,2017-01-01,.88999999,38879716,conventional,2017
0,2018-03-25,1.03,43409836,conventional,2018
1,2018-03-18,1.05,41386316,conventional,2018
2,2018-03-11,1.09,40449604,conventional,2018
3,2018-03-04,1.0700001,40741216,conventional,2018
4,2018-02-25,1.0599999,40021528,conventional,2018
5,2018-02-18,1.08,36709888,conventional,2018
6,2018-02-11,.97000003,43167808,conventional,2018
7,2018-02-04,.87,62505648,conventional,2018
8,2018-01-28,1.09,40171640,conventional,2018
9,2018-01-21,1.08,42939820,conventional,2018
10,2018-01-14,1.2,37299944,conventional,2018
11,2018-01-07,1.13,36703156,conventional,2018
0,2015-12-27,1.52,549787.56,organic,2015
1,2015-12-20,1.53,531478.25,organic,2015
2,2015-12-13,1.4299999,624300.31,organic,2015
3,2015-12-06,1.52,514112.97,organic,2015
4,2015-11-29,1.5,507830.81,organic,2015
5,2015-11-22,1.49,584276.81,organic,2015
6,2015-11-15,1.6,511347.25,organic,2015
7,2015-11-08,1.54,605197.13,organic,2015
8,2015-11-01,1.47,647789.19,organic,2015
9,2015-10-25,1.62,560830.56,organic,2015
10,2015-10-18,1.71,518034.88,organic,2015
11,2015-10-11,1.6900001,519892.66,organic,2015
12,2015-10-04,1.72,557392.75,organic,2015
13,2015-09-27,1.75,501814.88,organic,2015
14,2015-09-20,1.77,515240.81,organic,2015
15,2015-09-13,1.8,552059.63,organic,2015
16,2015-09-06,1.78,593797.19,organic,2015
17,2015-08-30,1.66,670005.94,organic,2015
18,2015-08-23,1.72,666276.25,organic,2015
19,2015-08-16,1.75,644689.69,organic,2015
20,2015-08-09,1,625259,organic,2015
21,2015-08-02,1,573873,organic,2015
22,2015-07-26,1,580826,organic,2015
23,2015-07-19,1,650389,organic,2015
24,2015-07-12,1,608845,organic,2015
25,2015-07-05,1,668233,organic,2015
26,2015-06-28,1.64,659947,organic,2015
27,2015-06-21,1.66,638192.88,organic,2015
28,2015-06-14,1.6799999,646098.44,organic,2015
29,2015-06-07,1.67,640448.56,organic,2015
30,2015-05-31,1.58,716942.69,organic,2015
31,2015-05-24,1.59,714266.31,organic,2015
32,2015-05-17,1.5,761972.63,organic,2015
33,2015-05-10,1.42,861671.13,organic,2015
34,2015-05-03,1.37,912681.56,organic,2015
35,2015-04-26,1.45,872239.06,organic,2015
36,2015-04-19,1.59,675908,organic,2015
37,2015-04-12,1.53,810018.25,organic,2015
38,2015-04-05,1.63,661842,organic,2015
39,2015-03-29,1.6,674551,organic,2015
40,2015-03-22,1.49,682640,organic,2015
41,2015-03-15,1.5,644584.69,organic,2015
42,2015-03-08,1.49,783913.06,organic,2015
43,2015-03-01,1.4,814484.81,organic,2015
44,2015-02-22,1.51,673446.69,organic,2015
45,2015-02-15,1.58,616177,organic,2015
46,2015-02-08,1.48,730874.31,organic,2015
47,2015-02-01,1.36,740897,organic,2015
48,2015-01-25,1.53,556368.88,organic,2015
49,2015-01-18,1.42,713120,organic,2015
50,2015-01-11,1.42,669528.88,organic,2015
51,2015-01-04,1.46,612910.13,organic,2015
0,2016-12-25,1.34,914035.44,organic,2016
1,2016-12-18,1.4299999,797042.25,organic,2016
2,2016-12-11,1.42,856795.63,organic,2016
3,2016-12-04,1.5599999,832767.56,organic,2016
4,2016-11-27,1.64,761675.88,organic,2016
5,2016-11-20,1.63,860320.56,organic,2016
6,2016-11-13,1.7,863948.13,organic,2016
7,2016-11-06,1.6799999,897671.31,organic,2016
8,2016-10-30,1.9299999,647723.56,organic,2016
9,2016-10-23,1.63,699763.38,organic,2016
10,2016-10-16,1.5,815859.5,organic,2016
11,2016-10-09,1.52,878367.44,organic,2016
12,2016-10-02,1.71,790926,organic,2016
13,2016-09-25,1.6900001,808891.94,organic,2016
14,2016-09-18,1.67,871627.56,organic,2016
15,2016-09-11,1.52,1103488.9,organic,2016
16,2016-09-04,1.54,1052088.8,organic,2016
17,2016-08-28,1.49,948530.88,organic,2016
18,2016-08-21,1.51,1033169.7,organic,2016
19,2016-08-14,1.48,1093287.8,organic,2016
20,2016-08-07,1.55,1012237,organic,2016
21,2016-07-31,1.58,946087.81,organic,2016
22,2016-07-24,1.65,919489.81,organic,2016
23,2016-07-17,1.63,1018118.3,organic,2016
24,2016-07-10,1.51,1043428.5,organic,2016
25,2016-07-03,1.47,1073595.4,organic,2016
26,2016-06-26,1.5,1007378.8,organic,2016
27,2016-06-19,1.45,1071066.6,organic,2016
28,2016-06-12,1.45,975275.56,organic,2016
29,2016-06-05,1.4299999,1012717.9,organic,2016
30,2016-05-29,1.41,1085152.5,organic,2016
31,2016-05-22,1.36,1165715,organic,2016
32,2016-05-15,1.45,1023252.2,organic,2016
33,2016-05-08,1.3,1137940.8,organic,2016
34,2016-05-01,1.28,1317867,organic,2016
35,2016-04-24,1.25,1475457.5,organic,2016
36,2016-04-17,1.38,1022217.3,organic,2016
37,2016-04-10,1.26,1179603,organic,2016
38,2016-04-03,1.4400001,930722.38,organic,2016
39,2016-03-27,1.4400001,900644.81,organic,2016
40,2016-03-20,1.27,1045450.4,organic,2016
41,2016-03-13,1.29,1023655.9,organic,2016
42,2016-03-06,1.28,1012415.9,organic,2016
43,2016-02-28,1.4400001,845011.63,organic,2016
44,2016-02-21,1.45,738856.94,organic,2016
45,2016-02-14,1.37,852463.31,organic,2016
46,2016-02-07,1.4400001,758795.13,organic,2016
47,2016-01-31,1.4299999,772077.19,organic,2016
48,2016-01-24,1.41,776964.56,organic,2016
49,2016-01-17,1.4400001,695341.44,organic,2016
50,2016-01-10,1.35,828670.56,organic,2016
51,2016-01-03,1.4299999,704100.5,organic,2016
0,2017-12-31,1.52,1243940.1,organic,2017
1,2017-12-24,1.64,1179930.1,organic,2017
2,2017-12-17,1.5700001,1148617.1,organic,2017
3,2017-12-10,1.54,1217680.4,organic,2017
4,2017-12-03,1.62,1119325,organic,2017
5,2017-11-26,1.72,957800.75,organic,2017
6,2017-11-19,1.77,967886.13,organic,2017
7,2017-11-12,1.8099999,1044591.4,organic,2017
8,2017-11-05,1.8200001,1068530.1,organic,2017
9,2017-10-29,1.84,1123703.6,organic,2017
10,2017-10-22,1.8200001,1180823.8,organic,2017
11,2017-10-15,1.85,1172057.3,organic,2017
12,2017-10-08,1.9,1164140.5,organic,2017
13,2017-10-01,1.95,1072521.4,organic,2017
14,2017-09-24,1.9400001,1125443.4,organic,2017
15,2017-09-17,2,1074567.8,organic,2017
16,2017-09-10,2.03,1093955.6,organic,2017
17,2017-09-03,2.0599999,1075538.5,organic,2017
18,2017-08-27,2.0899999,1045992,organic,2017
19,2017-08-20,1.96,1071538.3,organic,2017
20,2017-08-13,1.88,1014709.1,organic,2017
21,2017-08-06,1.83,1059971.1,organic,2017
22,2017-07-30,1.78,1091590.8,organic,2017
23,2017-07-23,1.76,1214158.3,organic,2017
24,2017-07-16,1.78,1148354.9,organic,2017
25,2017-07-09,1.71,1130374.8,organic,2017
26,2017-07-02,1.74,1173393,organic,2017
27,2017-06-25,1.77,1101009.9,organic,2017
28,2017-06-18,1.71,1304554.3,organic,2017
29,2017-06-11,1.5599999,1397448.1,organic,2017
30,2017-06-04,1.64,1352960.5,organic,2017
31,2017-05-28,1.6900001,1302205.5,organic,2017
32,2017-05-21,1.71,1210560.6,organic,2017
33,2017-05-14,1.55,1375125.1,organic,2017
34,2017-05-07,1.5700001,1394126.3,organic,2017
35,2017-04-30,1.6799999,1248175.3,organic,2017
36,2017-04-23,1.61,1190461.1,organic,2017
37,2017-04-16,1.49,1493331.3,organic,2017
38,2017-04-09,1.4299999,1387436.4,organic,2017
39,2017-04-02,1.42,1492167.4,organic,2017
40,2017-03-26,1.29,1581127.4,organic,2017
41,2017-03-19,1.5,1284018.6,organic,2017
42,2017-03-12,1.38,1337596.9,organic,2017
43,2017-03-05,1.16,1619398.3,organic,2017
44,2017-02-26,1.21,1436663.1,organic,2017
45,2017-02-19,1.3099999,1634877.1,organic,2017
46,2017-02-12,1.41,1060776,organic,2017
47,2017-02-05,1.36,1015621,organic,2017
48,2017-01-29,1.4299999,953206.13,organic,2017
49,2017-01-22,1.37,994283,organic,2017
50,2017-01-15,1.4400001,975724.25,organic,2017
51,2017-01-08,1.4299999,990721.81,organic,2017
52,2017-01-01,1.48,808971.88,organic,2017
0,2018-03-25,1.55,1559967.3,organic,2018
1,2018-03-18,1.54,1675804.3,organic,2018
2,2018-03-11,1.52,1664234.9,organic,2018
3,2018-03-04,1.52,1634430.8,organic,2018
4,2018-02-25,1.5700001,1459852.5,organic,2018
5,2018-02-18,1.52,1814930,organic,2018
6,2018-02-11,1.5599999,1317000.5,organic,2018
7,2018-02-04,1.53,1384683.4,organic,2018
8,2018-01-28,1.61,1336979.1,organic,2018
9,2018-01-21,1.63,1283987.6,organic,2018
10,2018-01-14,1.59,1476651.1,organic,2018
11,2018-01-07,1.51,1517332.8,organic,2018
